id,user_id
158,669
159,669
247,1538
249,1538
250,1538
251,1538
252,1538
271,2729
295,1813
307,769
357,2468
365,1290
375,3229
380,1473
381,3068
10048,6911
390,3138
9767,3168
429,51
441,1747
442,1747
443,1747
451,1753
510,2807
492,3061
509,2807
530,3063
531,3063
532,3063
601,535
602,535
668,684
658,827
659,827
10761,7801
10764,7009
685,929
701,2171
711,563
712,563
713,563
714,563
715,563
753,1718
754,1718
760,2636
873,648
874,648
875,648
876,648
877,648
878,648
916,1931
922,2329
923,2329
981,1429
1004,3031
1028,2653
1034,1404
1035,1404
1036,1404
1070,1514
11936,291
1152,2648
1154,537
1155,537
1156,537
1158,537
1159,537
1160,537
1161,537
1196,263
1197,263
1198,263
1199,263
10555,7575
1216,2111
1217,2111
1218,2111
1220,1484
1243,2783
1257,2407
1258,2407
1259,2407
1260,2407
1261,2407
1262,2407
11320,4926
1413,500
1414,500
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1448,1
1449,1
1450,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,1
1501,762
1502,762
1503,762
1504,762
1505,762
1610,386
1611,386
1612,386
9489,6116
1604,2980
1605,2980
1631,804
1632,804
1659,1712
1660,1712
1682,841
1683,841
1726,1440
1727,1440
1776,780
1777,780
1778,780
1880,2532
11938,263
1938,1031
1959,2047
1960,2047
1961,2047
1993,2190
2032,923
2072,1806
2143,1742
2168,1321
2169,1321
2170,1321
2187,2811
2283,1126
2284,1126
2285,1126
2286,1126
2288,1126
2307,1528
2308,1528
2309,1528
2310,1528
2311,1528
2312,1528
2389,878
2367,354
2368,354
2390,878
2391,878
2392,878
2393,878
2394,878
2395,878
2419,2937
2472,2254
2499,2586
2507,2873
2543,514
2544,514
2545,514
2546,514
2547,514
2548,514
2549,514
2550,514
2551,514
2552,514
2555,516
2556,516
2609,2986
2623,619
2624,619
2625,619
2626,619
2627,619
2641,668
2777,2113
2775,2113
2776,2113
2778,2113
2779,2113
10557,7578
10558,6103
10560,7493
2830,2633
2842,459
11324,8437
2983,50
3015,2842
3078,9
3050,2734
3067,1495
3068,1495
3069,1495
3070,1495
3079,9
3157,1034
10559,7570
3223,915
3224,915
3272,2747
3304,1139
3363,31
3364,31
3365,31
3366,31
3367,31
3368,31
3369,31
3370,31
3371,31
3374,3044
3421,2291
3440,3168
3513,2769
10562,5826
12856,10292
13820,3442
3630,1937
3631,1937
3654,2032
3658,2809
3703,2755
11325,8439
3742,2781
3758,1949
3759,1949
3760,1949
3761,1949
3823,3042
3857,2669
3878,2474
11941,4666
3884,1945
3913,2927
3924,5
3926,5
3927,5
3928,5
3929,5
3954,82
3960,2961
4013,333
4014,333
4018,1991
4019,1991
4024,569
4031,1463
4114,892
4129,478
9493,263
4219,1783
4262,1274
4336,1614
4367,1952
4368,1952
4369,1952
4440,1217
4441,1217
4459,1713
4577,552
4578,552
4595,2504
4596,2504
4607,2792
4666,1543
4686,623
4687,623
4688,623
4689,623
4690,623
4829,51
4737,500
4739,1
4768,3243
4807,103
4820,1813
4821,1243
4827,51
4828,51
4911,1
4884,537
4902,1
4903,1
4904,1
4905,1
4906,1
4907,1
4908,1
4909,1
4910,1
4912,1
4913,1
4914,1
4915,1
4916,1
4917,1
4918,1
4919,1
4920,1
4921,1
4922,1
4962,21
4963,21
4985,1126
4990,354
5040,50
5041,50
5047,9
5048,9
5079,31
5080,31
5081,31
5120,5
5121,5
5127,82
5134,333
5179,2792
5184,397
5185,3042
5210,3267
5217,3127
5220,2113
5281,3290
5283,2842
5284,804
5294,3076
11415,7134
5309,3168
5312,3300
5330,2792
5357,2254
5372,2504
5382,1
5387,2734
5453,648
5464,3359
5472,537
11331,8446
5451,2783
10570,5640
5505,3229
11944,3771
5534,3382
5543,3392
5571,386
5577,1484
5664,2792
5666,3423
5693,3442
5740,2407
5752,1
5784,3481
5803,3487
5822,9
5828,3061
5830,3497
5854,1528
5867,1463
5884,3517
5919,3532
5923,3533
5927,3535
5952,3550
6010,31
6028,3571
6084,3593
6093,3597
6100,1
6115,1945
6130,3612
6160,3627
6181,2111
6208,333
6216,3063
6250,537
6251,103
6305,3359
6275,3662
6287,1718
6292,3666
6301,1463
6306,31
6312,1712
10568,7590
10763,7805
6323,3670
6330,1813
6341,3678
6342,3678
6358,619
6385,3686
6464,2729
6514,386
6519,2047
6528,3517
6541,1528
6543,3736
6582,1126
6594,3752
6606,500
6619,3229
6623,1
6625,2113
6646,333
6648,1484
6654,2792
11335,8451
6662,3771
6664,3535
6679,2407
6724,1
6738,3789
6761,3662
6769,82
6770,563
6773,3585
6792,892
6855,3835
6883,20
6898,3851
6907,3481
6911,2047
6924,3487
6927,2811
6940,1
6952,648
6958,1528
6984,804
7022,514
10573,7403
7106,3913
7126,3771
7146,3928
7171,1
7205,3670
